start,title,company,location,posted_time,employment_type,work_setup,career_level,experience_years,tags,link
10,Medical Approval Doctor,AXON,"Maadi,Cairo,Egypt",24 hours ago,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,"Medical/Healthcare, Medical, Excellent clinical judgment and decision-making skills., Proficiency in using medical and insurance software systems., Ability to work under pressure and meet deadlines.",https://wuzzuf.net/jobs/p/pyo9vyxhmmyx-medical-approval-doctor-axon-cairo-egypt
15,Medical Sales Representative,NutriMed,"New Cairo,Cairo,Egypt",1 day ago,Full Time,Hybrid,Experienced,1 - 2 Yrs of Exp,"Medical/Healthcare, Medical Sales, Sales Target, Customer Service, Pharmacy",https://wuzzuf.net/jobs/p/bnyovrbktemh-medical-sales-representative-nutrimed-cairo-egypt
15,Medical Representative,Elegant Care Medical Group,"Heliopolis,Cairo,Egypt",1 day ago,Full Time,Hybrid,Entry Level,1+ Yrs of Exp,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical, Sales, Communication, Customer Care, Pharmacy, Medical Sales, Medical Devices Sales",https://wuzzuf.net/jobs/p/jtpamlp1wpif-medical-representative-elegant-care-medical-group-cairo-egypt
17,Inpatient Pharmacist,Mersal,"Maadi,Cairo,Egypt",2 days ago,Part Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare, Pharmacy, Pharmaceutical, Hospital Pharmacy, Therapeutics, Pharmacy Information Systems, Drug Interactions, Electronic Medical Records",https://wuzzuf.net/jobs/p/vipjvp7cbnj7-inpatient-pharmacist-mersal-cairo-egypt
22,Pharmacist,Healthynia pharmacy,"Cairo,Egypt",2 days ago,Full Time,On-site,Experienced,3+ Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Medical Knowledge & Practice, Pharmaceutical Science & Expertise, Pharmacy Operations Management, Sales Acumen & Strategy, Patient Counseling, Medication Dispensing, Drug Interaction Management, Inventory Management",https://wuzzuf.net/jobs/p/mfj2mtgofsne-pharmacist-healthynia-pharmacy-cairo-egypt
25,Medical Tourism Head,Alexandria New Medical Center,"Alexandria,Egypt",2 days ago,Full Time,On-site,Manager,5 - 10 Yrs of Exp,"Medical/Healthcare, Management, Medical",https://wuzzuf.net/jobs/p/xqcai8tuyqlk-medical-tourism-head-alexandria-new-medical-center-alexandria-egypt
39,Growth Marketing Specialist (Healthcare & Tech),Medilink360 LLCFZ,"Maadi,Cairo,Egypt",6 days ago,Full Time,Freelance / Project,Hybrid,3 - 7 Yrs of Exp,"Experienced, Creative/Design/Art, IT/Software Development, Marketing/PR/Advertising, Social Media, Marketing, Graphic Design, healthtech, Growth Hacking",https://wuzzuf.net/jobs/p/jc60ehj83isj-growth-marketing-specialist-healthcare-tech-medilink360-llc-fz-cairo-egypt
42,Pediatrician (Medical Doctor) - Back Up Position,Medecins Sans Frontieres,"Faisal,Giza,Egypt",6 days ago,Shift Based,On-site,Experienced,2+ Yrs of Exp,"Medical/Healthcare, Health Care, Leadership, NGO, INGO, humanitarian, medical doctor, MSF, Medical Services, Pediatrics",https://wuzzuf.net/jobs/p/ych8pm4ssenh-pediatrician-medical-doctor-back-up-position-medecins-sans-frontieres-giza-egypt
45,Regulatory Affairs Specialist,Macro Group,"Sheraton,Cairo,Egypt",6 days ago,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,"Medical/Healthcare, Pharmaceutical, Regulatory Affairs, Pharmacy, Science, Pharmaceutical, Vet, Cosmetics, Regulatory, nutraceutical",https://wuzzuf.net/jobs/p/mryyuvvdoglx-regulatory-affairs-specialist-macro-group-cairo-egypt
49,Pharma Inventory Management Specialist,Ibn Sina Pharma,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Logistics/Supply Chain, Operations/Management, Inventory Management, Logistics, Management, Pharma Industry Knowledge, Purchasing, Supply Chain Optimization, Attention to Detail, Problem-Solving",https://wuzzuf.net/jobs/p/cm7phur6nxta-pharma-inventory-management-specialist-ibn-sina-pharma-cairo-egypt
